iS#theme	mS#title	S#text	iD#score	cD#comp1	iD#comp2	iD#comp3	iD#comp4	iD#comp5
"Pós-verdade, opinião pública e democracia"	"Verdade subjetiva"	"O avanço tecnológico tem permitido meios de obtenção de fatos cada vez mais rápido por diversas mídias, mas a compilação desses dados, capaz de gerar informação confiável, imparcial e coerente com os contextos: econômico, financeiro, histórico, político e social, dentre outros, tem levantado um importante questionamento: Qual a extensão da verdade das notícias veiculadas pelos diversos meios de comunicação? Cada um que recebe a notícia, faz a análise na velocidade da internet de acordo com suas posições ideológicas, veiculando-a nos meios de comunicação para um público ávido por conteúdo, ocorre que, dependendo da extensão e do impacto que se deseje obter, a análise pode ser direcionada para um aspecto específico do acontecimento, destacando-o dentre as demais facetas, fazendo com que fique incompleta − uma meia-verdade. Entretanto, há “especialistas” que, utilizando técnicas de propaganda e artifícios textuais de lógica e dialética, distorcem os acontecimentos e apresentam dados estatísticos viciados ou parciais, corrompendo até mesmo o contexto em que ocorreram − são mentiras travestidas de verdade. Aqui um dos objetivos mais importantes é “viralizar”, ou seja, obter a mais ampla divulgação em curto tempo. Esses veículos, quando identificados, são frequentemente chamados de “mídia sensacionalista”. Como não existe um mecanismo de controle capaz de averiguar o conteúdo das notícias divulgadas, cumpre a quem recebe a notícia um breve exercício mental, uma rápida análise conjuntural e, se possível, uma breve pesquisa em outros veículos de notícias com a finalidade de verificar o grau de parcialidade da análise dos fatos para ter uma visão mais acurada dos acontecimentos."	7.00	1.50	1.50	1.50	1.50	1.00
"A tecnologia e a eliminação de empregos"	"Tecnologia versus humanidade"	"Por volta de 1750, na Inglaterra, iniciou-se a Revolução Industrial. Com ela surgiram novas ferramentas e máquinas capazes de substituir dezenas de braços humanos. Nos dias atuais, o avanço da tecnologia prevalece com inovações a todo instante. A demanda é grande e está trazendo números altos de desemprego. Segundo a Universidade de Oxford, em 2013, 47% dos empregos nos Estados Unidos estariam ameaçados pelos robôs. Isto porque as máquinas estão cada vez mais substituindo o trabalho humano, desde carros automáticos até babás eletrônicas, que dispensam uma grande quantidade de empregados de determinadas áreas. De acordo com o Fórum Econômico Mundial (WEF), em cinco anos, 7,1 milhões de empregos serão eliminados no mundo todo graças ao processo de desenvolvimento robótico, inteligência artificial e biotecnologia. “Eu temo o dia em que a tecnologia ultrapasse nossa interação humana, e o mundo terá uma geração de idiotas”, disse Einstein. Hoje vê-se que o homem está obcecado com todos os avanços tecnológicos, aos quais dá mais importância do que ao seu bem estar ou interação social, optando muitas vezes por comprar um celular de ultima geração ao invés de algo que é de sua necessidade pessoal. Logo, tendo em vista que as máquinas são criações humanas, o homem não pode estar despreparado para lidar com ambas. As empresas devem trazer tecnologias que auxiliam o trabalho do empregado, mas não substituindo-o . Tendo grande influência na sociedade, a mídia deve trazer informações não só dos benefícios da tecnologia, mas os malefícios do seu uso em excesso."	6.00	1.50	1.50	0.50	1.50	1.00
"Filantropia: um exemplo a ser seguido?"	"Filantropia é apenas doar dinheiro?"	"A filantropia é o ato de doar dinheiro, tempo, ajuda , comida, roupa e etc. a alguém, sem pedir nada em troca, apenas para se sentir bem ajudando o próximo. Os grandes empresários doam parte de seu dinheiro para praticar o bem e outros para se autopromover, mas o que importa é que os que precisam estão sendo ajudados das duas maneiras. Porém, por essas pessoas estarem na mídia expondo sua conta bancária, elas acabam chamando muito mais atenção do que os voluntário , por exemplo, que dedicam seu tempo tempo, esforço e até mesmo sua atenção à famílias carentes, crianças, mendigos e etc. e não recebem nenhum reconhecimento. Sendo assim, nós devemos usar como exemplo alguém que esteja mais próximo da nossa realidade, como um bilionário ou um simples trabalhador. como disse Gandhi: “seja a mudança que você quer ver no mundo”, então podemos ser filantrópicos doando apenas carinho, amor e atenção."	5.00	1.50	1.00	1.00	1.00	0.50
"O sucesso vem da escola ou do esforço individual?"	"O sucesso está dentro ou fora?"	"É habitual em nosso país, nos depararmos nos noticiários e redes sociais com casos de violência, falta de recursos e descasos nas escolas públicas brasileiras. Pesquisas também apontam que um em cada cinco estudantes do ensino fundamental das escolas públicas não atingem os níveis mínimos de alfabetização em leitura, escrita e matemática, porém, dentro desta triste realidade existem contrapontos, como é o caso do filho do pedreiro com a catadora de castanhas, Ismael do Nascimento Silva. Ismael do Nascimento Silva se formou no curso de direito este ano e durante sua colação de grau homenageou seus pais, os referindo como seus heróis. Filho de trabalhadores de classe baixa e estudante de escolas públicas, sempre teve força de vontade e coragem para superar todas as dificuldades que apareceriam em seu caminho. Ismael, agora advogado, relata em entrevistas o quão difícil foi sua caminhada, contudo, sempre contou com o apoio emocional e afetivo de seus pais. Então, nos deparamos com a seguinte questão – O sucesso vem da escola ou do esforço individual? Acredito que não possamos atribuir como garantia de sucesso apenas na escola ou então no esforço individual. O sucesso é um conjunto de fatores, que se trabalhados agrupados, podem sim garantir êxito ao estudante. Penso que para o desenvolvimento do bom aluno, é necessário que o mesmo primeiramente encontre dentro de casa apoio, dialogo e amor junto a sua família. Uma criança que recebe atenção e princípios, logo intende e diferencia o certo do errado, passará a valorizar mais seus estudos e consequentemente seu futuro. Em seguida atribuímos como um segundo fator para alcançar o êxito, a escola e seus professores. Escolas atrativas para crianças e adolescentes e professores motivados a ensinar podem ajudar a construir futuros brilhantes. Alcançar o sucesso é algo muito subjetivo, necessita da contribuição de fatores externos como também de motivação própria, aquela que nos faz enxergar à frente de toda a adversidade. Para muitos o sucesso nunca é conquistado, ele se encontra na coragem de a cada desafio cumprido almejar novos sonhos e conquistas ."	4.00	1.00	1.00	1.00	0.50	0.50
"O sucesso vem da escola ou do esforço individual?"	"Aluno e escola de mãos dadas"	"O esforço individual pode determinar o sucesso, mas uma escola preparada potencializa as chances. O conjunto dos dois fatores permite o bom desenvolvimento do aluno. E, assim, a trilha de sucesso alcançado pelos estudos será possível. Apesar de haver casos de estudantes que venceram por seus próprios esforços, eles ainda são exceções. Na verdade, exemplos como esses deveriam ser regra, mas nem todos possuem a mesma determinação. Uma escola que desestimula, torna tudo ainda mais difícil. Antes das cotas, por exemplo, dificilmente um aluno de escola pública passava em cursos concorridos, como medicina. Isso não significa que ele não se esforçou, porém as condições de sua escola não permitia superar os concorrentes de escolas privadas mais preparadas . No Brasil, vários jovens precisam viajar horas, não possuem alimentação adequada e falta material didático na escola . Outros fatores como professores insuficientes e desestimulados, infraestrutura precária e má gestão contribuem para o fracasso desses estudantes. Logo, a própria força de vontade, muitas vezes não é suficiente. Portanto, se deve promover uma educação de qualidade aos estudantes. Para isso, são necessárias escolas eficientes, com professores motivados e um bom incentivo ao aluno. E então, juntamente com seus esforços, o estudante terá um futuro brilhante."	7.00	1.00	2.00	2.00	1.50	0.50
"Por que o Brasil não consegue vencer o Aedes aegypti?"	"Falta de consciência"	"Combatê-lo nunca foi tão difícil como na atualidade. Apesar de sua insignificância em tamanho, o transmissor da dengue ressurge cada vez mais potente, no Brasil. Esse ano veio transportando um oponente ainda mais aterrorizante: o Zika Vírus. Surge assim um questionamento: por que não se consegue abater o Aedes Aegypti definitivamente? De certa forma, analisando a sociedade moderna, a solução para extermínio de mosquitos não era para ser tão difícil. Hoje, pelo mundo, cria-se de tudo, combate-se quase tudo. No Brasil, quando não se cria, copia-se. Então por que nenhuma arma contra essa “peste” ainda foi criada? Na verdade, para extingui-lo, necessário nem seria criar. Basta atentar às recomendações dos órgãos de saúde, os de combate ao epidêmico mosquito. Se cada indivíduo fiscalizasse seu quintal, eliminado possíveis habitar de lavras do inseto, tão logo ele estaria erradicado. Mas, de fato, a sociedade brasileira parece não ter dado conta da gravidade da epidemia. Não são raras a constatação de novos casos de doenças causadas pelos vírus transportados pelo mosquito. Todo o país sobre o mal da dengue, do Zika, do Chikungunya. Menos raros ainda são os lares com locais propícios a novas chocas de ovos, ou já infestados por lavras. Mesmo com os incansáveis voluntários diuturnamente combatendo, orientando, eliminando água parada, as incidências de doenças se replicam. Talvez porque a cada esquina esses voluntários deparam-se com novos descasos, com indiferença. É uma moléstia que se alastra sobre a irresponsabilidade da população brasileira. Assim, vence o insignificante diminuto contra o racional involutivo de consciência. Derrota mais pela falha de combate da sociedade brasileira do que pelo poder de resistência. Apenas transporta mutantes que assombram e padecem muitos brasileiros. Quem sabe em um novo voo ele tripule um transmissor que ao invés de reduzir cérebro, aumente consciências."	4.00	1.00	1.00	1.00	1.00	0.00
"Somos todos corruptos?"	"Corrupção - cenário atual"	"A corrupção no Brasil vem crescendo em escalas alarmantes. Desde a década de 90 com o IMPEACHMENT do presidente Collor, que foi destituido do cargo por envolvimento em corrupção e fraudes financeiras mostra o cenário onde o pais se encontra nos dias atuais. Todavia, os esquemas de lavagem de dinheiro desviam milhões do caixa da união e suas unidades federativas. Recursos estes que deveriam ser empregados em saúde e educação ou em politicas de crecimento para o estado . Entretanto, tanto os agentes públicos e politicos quanto o homem que não devolve o troco que recebeu a mais, ou o gari que acha carteira com dinheiro e não devolve incorrem no mesmo erro, apenas as proporções se diferenciam. Entende-se, portanto, que é preciso maior fiscalização por parte do TCU às instituições financeiras. O ministerio da educação e os país de crianças, adolescentes e jovens precisam trabalhar para difundir a cultura da boa indule , pois esses jovens estarão um dia a frente da maquina operacional do pais . Estes incorrem a prática dos mesmos atos de corrupção. Segundo Immanuel Kand “o homem é aquilo que a educação faz dele.”"	3.00	1.00	0.50	0.50	0.50	0.50
"Perigos do universo digital"	"Bullying virtual: uma ameaça real"	"Um tema antes tratado com desdém pelo governo, pelos pais e pelos próprios professores, o bullying vem ganhando espaço na sociedade para ser estudado e debatido nas mais diversas áreas , a fim de ser extinto. Mas com o advento da tecnologia, uma forma muito mais perigosa e incontrolável desse problema surgiu: O Cyberbullying . O surgimento das redes sociais revolucionou a forma como nos comunicamos e nos relacionamos com outras pessoas. Pessoas distantes entre si de repente ficam a uma webcam de distância e amigos de infância, que não se viam a muito tempo, se tornam grandes amigos de novo. Mas mesmo com tantos benefícios, ela trouxe também um grande mal. A superexposição. Pelo fato da internet ser um espaço ilimitado, onde qualquer um pode usar a vontade, em qualquer lugar e a qualquer hora, aliado ao anonimato, combater esse tipo de bullying e punir os agressores, se torna algo quase impossível. Debates e palestras tem sido feitos no mundo todo para combater esse mal que se propaga de forma alarmante, mas é necessário muito mais. As empresas donas desse serviços devem criar formas de identificar perfis anônimos e a polícia deve dar uma atenção maior para esses tipos de casos ."	5.00	1.50	0.00	1.00	1.50	1.00
"Perigos do universo digital"	"Exposição criminosa"	"O universo digital abrange tanto coisas boas quanto ruins que podem prejudicar muitas vidas. Em 2003, Mark Zuckerberg junto com alguns amigos criaram mais uma rede social, o Facebook, porém ninguém imaginaria o sucesso que faria, mas ao mesmo tempo a exposição que ela trouxe a vida das pessoas não foi de grande valia. Contudo, isso se torna um problema quando pessoas mal intencionadas também tem esse acesso , causando algum malefício físico ou psicológico ao outro . Jovens tem o costume maior de postar fotos em momentos de descontração com amigos, família, ou então, se estão felizes com seus corpos e enviam essas fotos. Mas não imaginam o perigo que está por trás de quem tem acesso a essas imagens. Hoje, se tem muito o hábito de mandar nudes para um namorado ou desconhecido que pode vazar suas intimidades. O número de vítimas que tem suas fotos intimas divulgadas, sem seu consentimento, quadruplicou de 2015 para cá, apesar de já termos a Lei Carolina Dieckmann em vigor , que torna crime a invasão de privacidade e roubo de dados particulares, ainda não colocou fim a essa violação. Desse modo, medidas são necessárias para resolver esse impasse. O roubo de imagens ou exposição delas é crime, então a polícia civil pode investigar esses casos e repreender os indivíduos. Também, o Governo, em parceria com o Ministério da Educação (MEC) , apresentar palestras aos jovens para que mostre a importância de se preservar sua imagem e conscientizar a eles ."	5.00	1.00	1.00	1.00	1.00	1.00
"É preferível praticar ou sofrer uma injustiça?"	"Maldade na Alma"	"Em um diálogo entre Sócrates e Polo, Sócrates defende que é melhor sofrer injustiça do que praticá-la, Polo fica surpreso com a afirmação de Sócrates, pois sofrer uma injustiça não é nada fácil, mas o que foi levado em consideração são as consequências tanto de quem comete ou sofre injustiça. De acordo com Sócrates sofrer uma injustiça é menos prejudicial, pois a vítima não praticou mal algum, diferente de quem praticou a injustiça, pois prejudicou o próximo. Sócrates disse também que o mais feliz é aquele que não tem maldade na alma, mas quem pagou por suas maldades pode ter uma vida feliz. Infelizmente algumas pessoas não se preocupam em relação ao que o outro sente e então acusam, prejudicam, e querem se beneficiar diante do sofrimento dos outros, e continuam cometendo maldade até que alguma consequência ruim aconteça com eles ou quando se arrependem e são punidos Porém, nem todos que cometem injustiças sentem culpa, bem como quem sofre injustiça por vezes sente-se envergonhado, e se culpa pois não conseguiu impedir de ser injustiçado, mas pelo menos não fica com o peso na consciência por prejudicar alguém. O fato é que levando em consideração a maldade, a vítima está livre dessa responsabilidade. Já quem comete injustiça, pode levar uma vida infeliz, mas nem sempre é assim que acontece, ou seja, depende muito do indivíduo. Contudo, diante dos olhos da sociedade, quem comete a injustiça não será visto com bons olhos, sofrerá a reputação negativa e pode virar vítima da própria maldade, enquanto a vítima continua com sua moral e é valorizada em seu meio social."	3.50	1.00	1.00	0.00	0.50	1.00
"Perigos do universo digital"	"Proteção é a resposta"	"Em um dos mais empolgantes episódios do desenho Super Choque, um vírus “inofensivo” quase que conseguiu destruir o quartel general da Liga da Justiça. Infelizmente no mundo fora dos quadrinhos e animações , isso não é diferente, um simples vírus pode roubar inúmeros dados pessoais. O mundo digital apresenta riscos para àqueles que não contam com um conhecimento da área, visto que cada vez mais observamos em telejornais golpes onlines . A problemática é que junto com um email comum de propaganda ou quaisquer outras formas de enviar anexos, e afins, possa vir acompanhado o roubo de dados pessoais. Na contemporaneidade que vivemos , já se tornara difícil ficar sem a internet, e é aí onde caímos nas armadilhas de hackers, apenas um clique e todos seus dados que estiverem contidos na máquina ou na conta foram perdidos. Mesmo que a cada dia que se passa cada vez os softwares (programas) de proteção estejam mais modernos, ainda há muita facilidade para acontecer o menção anterior . Em virtude do que fora dito, claramente, esse impasse deve ser resolvido. Através da parceria entre o MEC e o Ministério da Ciência, Tecnologia, Inovações e Comunicações, poderiam implementar palestras sobre os perigos do universo digital em escolas, onde está localizado a maior parte dos internautas, além disso a disponibilização gratuita de programas de proteção de computadores e smartphones seria uma opção válida para a diminuição de roubos de dados pessoais."	4.00	1.00	0.50	0.50	1.00	1.00
"Artes e educação física: opcionais ou obrigatórias?"	"Educação nunca é demais"	"Artes e educação física são disciplinas que devem ser obrigatórias, pois ajudam muito no desenvolvimento e também na saúde dos jovens e crianças. Por mais que a pratica de esportes tenha aumentado muito nos últimos anos, hoje em dia a maioria dos jovens e crianças só praticam algum exercício físico nas aulas de educação física que são aplicadas na escola. É uma disciplina muito importante pois faz com que muitos vejam o quão importante é a pratica de exercícios e o quanto ajudam na vida de muitas pessoas, ajudando a evitar diversas doenças. A disciplina de artes também é muito importante pois faz com que desenvolvamos o nosso lado artístico que muitas vezes nem sabemos que tínhamos. Ajuda também a melhorar o desempenho em diversos aspectos e a desenvolver a inteligência. As disciplinas devem ser mantidas obrigatórias, pois além de serem umas das matérias que os jovens e crianças mais gostam ajudam mensamente no desenvolvimento. No entanto, eles não devem apenas manter obrigatório, como também devem melhoras o jeito de serem lecionadas."	2.50	0.50	0.50	0.50	0.50	0.50
"Direitos em conflito: liberdade de expressão e intimidade"	"Direito de imprensa"	"Os meios de comunicação avançaram de maneira significativa. Obtêm uma gama de acesso a informação e pelo mesmo trajeto atravessam as intimidades dos envolvidos. Foi o ocorrido, com a primeira-dama Marcela Temer, que teve o telefone clonado, e a repercussão das matérias dos jornais Folha de S.Paulo e O Globo, que tiveram impasse para serem publicadas devido ao código do direito civil. Conquanto os jornais devessem respeitar a imagem da primeira-dama, por outro lado, não pode ser absorvido, que, a liberdade de imprensa, foi atropelada. Em vista disso, observa-se a blindagem do presidente da República, desconsiderando um direito da mídia de usufruir da liberdade, a fim dele ter vantagem no caso em questão, embora sendo um representante público. Professora de direito constitucional da USP, Monica Herman Salem Coggiano, retratou o conflito entre a privacidade e a liberdade de expressão: “A reportagem se baseia em informações públicas, que não podem ser ignoradas [...]. O direito de informar deve ser privilegiado”. Portanto, proteger a imprensa é o mais adequado. Quanto à intimidade das pessoas, publicações desse gênero precisam ponderar na profundidade de seu conteúdo. Desta forma, para atenuar esse conflito, uma nova lei, abordando tema o limite da exposição da mídia, deve acrescentar para a constituição brasileira, a qual possui semelhante artigo mas entrado na sociedade em contexto diferente, mostrando estar defasada. Na reforma dessa lei, haveria a exceção apenas para casos de interesse público, como a investigação de um réu, mas penalizaria duramente a quem que contribua informações constrangedoras de uma pessoa. Assim, colaborando de fato para a qualidade e a liberdade da mídia no país."	2.50	0.50	0.50	0.50	0.50	0.50
"Disciplina, ordem e autoridade favorecem a educação?"	"A educação militar e o respeito à individualidade"	"Instituições de ensino que utilizam a disciplina militar vêm se destacando pelo bom desempenho nos vestibulares com questões objetivas. A apresentação desses resultados é fator predominante para muitos apoiarem irrestritamente esse método de ensino. Entretanto, há certa discussão quanto ao uso da rigidez militar na educação primária e secundária, pois existem alegações de que essa não respeita a individualidade dos alunos. O uso da disciplina é necessário na formação de pessoas. Pessoas que são ensinadas a respeitar a hierarquia a partir de seus primeiros anos de vida podem tornar-se cidadãos conscientes de seus deveres e direitos no futuro. Além disso, ser disciplinado ajuda o aluno consideravelmente em seu rendimento escolar, pois o prepara a ter um bom desempenho no cumprimento de tarefas. Por outro lado, o uso da rigidez em excesso na disciplina militar pode causar prejuízos à individualidade do aluno. O estabelecimento de uma mesma tarefa a todos de um determinado grupo não leva em conta características intelectuais e físicas , causando constrangimento e desmotivação àquele que falhar. Com isso, a tentativa de padronização imposta por esse método tende a bloquear o desenvolvimento de diversas competências e qualidades do aprendiz. O uso equilibrado da disciplina na formação escolar traz, portanto, resultados positivos na educação dos alunos. Contudo, é necessário que a liberdade do aluno de expressar sua criatividade seja respeitada. Sem levar-se em conta este fator, corre-se o risco de que essas instituições estejam formando pessoas que, embora capazes de cumprir tarefas, não entendem o motivo de estas serem cumpridas."	9.50	2.00	2.00	1.50	2.00	2.00
"Impeachment: a presidente deve perder o mandato?"	"A validade do impeachment"	"É de conhecimento geral dos brasileiros o quão debilitado está o cenário político do país. Ex-presidente com mandado de prisão, deputados sendo investigados por corrupção, além de dívidas bilionárias da atual presidente. A junção destes fatos está causando revolta entre a maioria da população, que vai às ruas para pedir o Impeachment de Dilma. Mas existe base para a concretização deste fato? Assim como ocorreu no início da década de 90 contra o governo de Collor, atualmente se tornou comum as manifestações contra a presidente. Semelhantes aos objetivos dos Caras Pintadas , milhões de pessoas se reúnem nas principais ruas das cidades e em vários estados do país. Apelando para serem vistos pelas autoridades, eles usam cartazes, faixas gigantescas, bandeiras do Brasil e camisetas verde e amarela . Porém, eles não podem agir em vão. Precisam ver na prática o exercício da democracia, prevalecendo a vontade geral. Suas vozes não poderão ser sufocadas por discursos que defendem a improcedência do Impeachment , configurando-o como golpe. Além das manifestações populares, outro fato que consolida a validade da retirada da presidente é o resultado da atual investigação sobre corrupção em seu governo. A maioria dos investigados pertence ao PT (Partido dos Trabalhadores), inclusive o ex-presidente Lula, muito amigo da presidente Dilma, como se pôde observar nas conversas por telefone dos dois, divulgadas pelo juiz Sérgio Moro. Ela, tentando ajudá-lo a se livrar do juiz, tentou nomeá-lo como ministro , mas não obteve êxito. Diante de todos esses fatos, seria utopia pensar que Dilma, cercada de centenas de políticos acusados de superfaturamento em obras públicas, lavagem de dinheiro e sonegação fiscal, não estaria também envolvida em um destes crimes. Basta mais alguns meses de investigação para comprovar esta relação. Tendo em vista o pedido de Impeachment e tomando como referência os argumentos apresentados no decorrer do texto, o Congresso precisa tomar uma providência. Já que estão lá para representar o povo, precisam votar a favor do processo, pois o primeiro passo é dado por eles. É necessário que a população não se limite a sair às ruas e bater panela em horários políticos, mas sim que procure a câmara dos deputados e proponha o Impeachment , pois abaixo assinados não possuem validade quando o assunto é esse. Por último, é válido que investigações minuciosas sejam feitas com os políticos e principalmente com a presidente, para averiguar as denúncias de corrupção e promover a transparência do governo, tão aguardada e esperada pelos brasileiros."	6.50	1.00	1.50	1.50	1.50	1.00
"Escola no Brasil: com partido ou sem partido?"	"Tome juízo, não partido!"	"Na Idade Média, os parâmetros educacionais basearam-se na ideia divina, foi uma ferramenta de doutrinação ideológica. Até que, graças ao advento da evolução, a escola passou a ser, teoricamente, laica e livre à todos pensamentos. Porém, a proposta Escola sem Partido, a ser aprovada - ou não - pelo senado , afirma, sem provas ou pesquisas, que há ainda sombras de imposição ideológica no ensino brasileiro. Antes da escola ser da população, ela é do governo; o governo é formado por partidos; a escola, portanto, é do partido. O silogismo aristotélico é capaz de mostrar que a redundante proposta é invalida . Não há como não discutir a política, pois, o próprio meio de propagação da educação é através das decisões do governo. Ainda, como por Aristóteles foi sabiamente colocado, “O Homem, por natureza, é um animal político”. Há a necessidade intrínseca de tomar parte das decisões de seus governantes. Por isso, é papel do professores, enquanto formadores de opinião, auxiliar os jovens por meio de discussões políticas argumentativas, mostrando sempre ambos os lados, para formarem cidadãos lúcidos às mudanças desse cenário. É inegável que possam ocorrer doutrinações, porém, proibi-las do meio acadêmico é, no mínimo, estupidez. A proposta deveria estimular tais discussões e capacitar os professores para que sejam imparciais. Também seria necessário que os políticos deixassem suas confortáveis poltronas no senado e participassem ativamente nesses debates. E, principalmente, a população deveria se ater às propostas e participar ativamente da política nacional e assim construir um pais justo, consciente e íntegro."	2.50	0.50	0.50	0.50	0.50	0.50
"Filantropia: um exemplo a ser seguido?"	"Filantropia: fazer o bem sem olhar a quem"	"Há alguns anos pessoas influentes começaram a investir em um novo movimento: a filantropia. Essas pessoas investem em atitudes e doam fortunas para ajudar o próximo. Mas esse movimento realmente beneficia alguém? Um bilionário criou uma organização filantrópica que visava ajudar ao próximo, mas seu real objetivo era melhorar a sua imagem que estava muito desgasta naquela época. Muitos artistas e famosos aderiram a essa causa como o ex-casal Angelina Jolie e Brad Pitt. Entretanto alguns adeptos do movimento utiliza-o como um “passaporte” para o céu ou causarem uma impressão de bom samaritano nas mídias. Uma certa passagem bíblica relata que quando fisermos uma boa atitude não devemos demontrar a tal. Porém existe uma parcela que faz uma atitude pura e verdadeira, pensando somente no próximo. Portanto investir na saúde, qualidade de vida e educação igualitária para todas e sim um ótimo exemplo a seguir."	1.00	0.50	0.50	0.00	0.00	0.00
"Direitos em conflito: liberdade de expressão e intimidade"	"Constituição Bilateral"	"A Constituição Federal brasileira é o livro de leis que contém os direitos e deveres de cada indivíduo dentro deste país. Ela foi redigida com base em princípios de liberdade e igualdade, com poderes de proteger o cidadão contra injustiças que prejudicam a sua rotina diária. Um dos fundamentos que esse conjunto de leis defende é o da liberdade de expressão, que fornece a base para a democracia. Outro, é o da privacidade, que preserva o individualismo e a intimidade . Em alguns casos, tais decretos se contrariam . Momentos como este geram controvérsias e discussões, sem haver na verdade, um lado incorreto, pois ambos se baseiam na Constituição. Nestes julgamentos, deve se colocar na balança as consequências e impactos de cada passo em defender um ou outro. Podemos citar a polêmica recente da primeira-dama Marcela , que proibiu a publicação de reportagens sobre áudios gravados de uma de suas conversas. Neste caso foi dado ênfase ao direito de privacidade, entretanto, por trás de uma violação à sua intimidade, pode haver crimes muito maiores, como a corrupção. O julgamento deve acontecer levando em conta muito mais do que apenas a infração em si. Para eliminar dúvidas dessa natureza, vertentes de cada um desses tópicos deveriam ser feitas pelo Legislativo, especificando quando um ou outro deve ser utilizado, mas lógico, sempre mantendo a liberdade individual intacta."	5.00	1.00	1.50	1.00	1.00	0.50
"Impeachment: a presidente deve perder o mandato?"	"O governo melhor que o governo"	"Egoísmo, oposição e impunidade são definições que podemos encontrar no atual governo brasileiro. Muitas são as pessoas a favor do Impeachment , porém há também uma parte da população que ainda se prende ao atual governo, defendendo suas ideias e pensamentos a respeito do Brasil. O que os cidadãos brasileiros argumentam a favor do impeachment é que já estão cansados, de tanta corrupção, impostos tão altos, e qualidade de vida decaída. A milhares de anos com o sistema democrático brasileiro implantado nunca se houve tantas manifestações e ingratidão em relação ao governo, contudo, não houve também impostos absurdos e a tão falada “crise econômica”. Vários são os fatores que propiciaram a instalação dessa crise, porém não se justifica o erro ocorrido pelo governo, que ainda pode afetar por mais alguns anos a população. Já a população que se coloca contra o Impeachment justifica sua posição demonstrando que o governo já fez várias melhorias para o país e a crise instalada se dá por fatores que vão além da crise política; porém como deduziu a pensadora Eça de Queirós “Políticos e fraldas devem ser trocados de tempos em tempos pelo mesmo motivo”. Portanto, o Impeachment pode ser visto como uma forma de melhorar o atual governo que se encontra de forma crítica e vergonhosa. Thomas Hobbes, filósofo inglês, declarou que qualquer governo é melhor que a ausência de governo, é preferível da anarquia, violência civil generalizada e do medo permanente. Cabe ao Ministério da Justiça adaptar as leis, e levá-las a risca; conscientizar a população através de palestras e mídias alfas, para assim voltarmos a ter governos como na Era Vargas."	4.00	1.00	1.00	0.50	1.00	0.50
"Carta-convite: discutir discriminação na escola"	"Intolerância programada"	"Um grupo de quatro macacos é colocado em um habitat artificial, onde no meio uma escada é colocada, e logo acima dela um cacho de bananas é exibido . No entanto, quando qualquer macaco tenta subir na escada, os quatro recebem pequenos choques de aparelhos acoplados a eles. Com o passar do tempo, quando um deles tenta subir a escada, o restante o ataca, com intuito de impedir os choques dolorosos. Um macaco então é substituído e sem saber de nada, tenta subir na escada quando é atacado pelos demais, até o ponto em que ele adere a esse comportamento. Os macacos vão sendo substituídos, e no fim não sobrou nenhum macaco que tenha recebido um choque, mas mesmo assim o grupo ataca qualquer um que tentar subir a escada. Em larga escala, no caso dos humanos, isso seria uma forma de demonstrar como a intolerância e o ódio são implantados sem espaço para novos pensamentos ou perguntas, apenas restando pensamentos antigos e conformistas. Deixamos de perguntar o motivo das coisas serem como são, deixando de questionar o motivo dos erros serem erros e acertos serem acertos. Um casal homossexual é uma afronta aos paradigmas cristãos, e uma ofensa à família, mas quando se pergunta o motivo, temos respostas vagas e puramente conformistas. Nada mais que uma procura por um motivo, cujo o verdadeiro é a afronta aos pensamentos de certo e errado que muitos criamos. Um casal homossexual não pode adotar uma criança pois ela não terá uma vida “normal”, quando a própria “normalidade” é imposta por pessoas que não entendem o verdadeiro sentimento alheio, e ao invés de se perguntar o porquê, abraçam sua ignorância com medo de descobrirem que seus ideais são construídos em cima de algo que nem eles mesmo entendem de verdade. A intolerância nada mais é que o medo do desconhecido, a forma final de um ideal sem explicação, levando seu seguidor ao ódio por não conseguir ter sua verdade seguida, o que leva ao único argumento que ele entende: A violência. Não há vergonha em não entender o desconhecido, de admitir sua ignorância e procurar entender melhor o mundo a sua volta. Não deixar que antigos paradigmas formados pela ignorância tomem conta de nosso futuro é o primeiro passo para uma geração de paz. Escute, aprenda e entenda o mundo a sua volta, e perceba que o mundo não é habitado apenas por você."	4.50	1.00	0.50	1.00	1.00	1.00
