mS#theme	S#title	S#text	cC#comp1	iC#comp2	iC#comp3	iC#comp4	iC#comp5
"a tecnologia e a eliminacao de empregos"	"o criador luta contra o proprio engenho"	"vivemos na era tecnologica, vivenciamos a cada dia suas fantasticas proezas. a propaganda que o universo tecnologico nos faz e a de sempre idealizarmos o melhor de seu ramo, assim, conseguem inibir e mascarar os problemas da sociedade. um de seus maleficios e a substituicao de trabalhadores bracais por maquinas mais “competentes” perante o homem, desde a implantacao das maquinas na area de trabalhos , a queda de requerimento para trabalhadores e gritante. robos que foram programados para nos auxiliarem, futuramente estarao ocupando nossos lugares no trabalho, gerando um desemprego em grande escala. para os futuros profissionais, a disputa contra as maquinas ha de vir com mais forca que atualmente. precisaremos nos mostrar mais humanos e valorizar nossas caracteristica sensoriais. possuimos a vantagem de ja ter visto a alteracao do homem pela maquina antes, pois isso nos da uma visao de como sera a luta para continuar no mercado de trabalho contra os androides. de forma geral, o avanco vertiginoso da tecnologia e assustador. estudos comprovam a reducao de trabalhadores nos anos anteriores devido a introducao de robos na area, mas nao podemos deixar a maquina ocupar o lugar de seu criador nos anos seguintes."	0.50	1.00	0.50	0.50	0.00
"o sucesso vem da escola ou do esforco individual?"	"sem fundamento escolar, nada feito"	”"a educacao tem raizes amargas, mas seus frutos sao doces". essa foi uma frase do filosofo aristoteles, todavia, sua aplicacao pode ser inserida nas condicoes de oportunidade presentes na educacao publica brasileira. a pessima qualidade no ensino inibe futuras propostas de emprego e promocoes se compararmos alunos de escolar estaduais e particulares; sobressaem-se apenas os diminutos interessados e esforcados. o instinto de alguem determinado a aprender e o esforco, sem ele, nenhuma barreira sera ultrapassada. entretanto, a facilidade para conseguir recursos de aprendizagem e tao reduzida quanto o numero de criancas alfabetizadas na escola fundamental gratuita. educacao, incentivo, oportunidade e dedicacao sao a chave para o sucesso. um exemplo emocionante e a do detento que se formou no curso de psicologia na penitenciaria. mais do que a sua persistencia, o apoio e a crenca no ensino desses seres humanos e que foi determinante para essa conquista. o balanco e equilibrio entre qualidade de ensino e esforco individual e um pressuposto para um avanco nos indices da avaliacao nacional de alfabetizacao (ana). investimento na area, professores qualificados, material de estudo disponivel vai alavancar um progresso. pais tem um papel fundamental ao instruir sobre educacao e, a proxima geracao possui funcao determinante contra a ignorancia."	1.00	1.00	0.50	0.50	0.00
"artes e educacao fisica: opcionais ou obrigatorias?"	"a opcao pela melhoria educacional"	"qual a funcao principal delas nas escolas? o que faz elas terem o mesmo valor que as outras materias para que seja obrigatorio as mesmas ? ao entrar em discursao nesse assunto , tem-se que analisar nao somente a permanencia como materia escolar, mas a forma como, elas sao regidas no pais, e de como ela se encaixa na vida do estudante em uma perspectiva. tanto a educacao artistica quanto a educacao fisica, tem tracos referidos a outras materias ou posicoes sociais, como em artes possui referencia da literatura, historia e ate mesmo da filosofia. a educacao fisica tem tracos medicinais e suas areas em especifico atraves do ludico e ao esporte. ao trazer a reforma no ensino medio, o governo objetivou a melhoria do pais atraves do reforco das materias que sao mais cobradas em concursos e enem, tendo como referencia, paises desenvolvidos, que tem as materias em discursao como obrigatorias, na qual a metodologia de ensino nas escolas vai muito alem de aulas teoricas, ou a fixacao no futebol como unica atividade exercida, realidade que e vivida pela maior parte dos estudantes brasileiros, em especial os da regiao norte. a educacao teria que ser igual ou no minimo similar em todo o pais, pois a realidade que os estudantes da regiao sul tem, e contraditoria a do norte do pais, apesar de nao serem todas, mas a maioria delas tem a “metodologia da mesmice” tendo uma unica atividade exercida ou presos na teoria, quando deveriam ter o conhecimento da importancia da pratica dos exercicios fisicos, o que vale para os mesmos assuntos de modalidade artistica ao longo da vida escolar, sem uma perspectiva de aprofundamento da mesma. portanto, elas sendo opcionais, poderiam se encaixar como praticas de inclusao social, tendo a educacao artistica fora das salas de aula, e as atividades fisicas atraves do esporte como praticas complementares. para te-las como materias obrigatorias, teria que melhorar as condicoes de ensino, para que seja adequada ao pais como um todo, cobrando do governo investimentos na educacao e em atividades sociais."	0.00	1.00	0.00	0.00	0.00
"terceirizacao: avanco ou retrocesso?"	"o bem da terceirizacao esta entre linhas"	"a burguesia na idade media desvinculou-se do ploritariado e se tornou mais uma classe. dessa forma tirou o seu cabresto que a realeza forcava. a terceirizacao de todo o trabalho e um retrocesso para os prestadores dos servicos, assalariados. nao permitamos essa mudanca sem a votacao das massas. as grandes metalurgicas pretendem adotar esse mecanismo de contratacao. apos a vinculacao da lei aprovada pela camara dos deputados. o texto-base do projeto de lei que autoriza o trabalho terceirizado para qualquer tipo de atividade. no entanto esse lucro vem a ser para o contratante que a lei pretende adotar. por via deste a classe de funcionarios fica sem garantias as consequencia de contratacoes por meio de contrato e sem planos futuros. com a clt consolidacao das leis de trabalho o prestador tem seu direito assegurado . o valor de salario e justo conforme vincula e pode ser comprovado na lei que o assegura. assim o bem maior deve ser implantado e nao imposto. em vez de ponte para o desenvolvimento o que vemos e uma barreira igual cortina de ferro se formando. a desvantagem lucrativa e nitida e os lucros nao serao divididos igualmente. a burguesia se desvinculou da nobreza e ganhou aliados ao mesmo tempo. os contribuintes da empresa e parte fundamental da mesma e seu lucro e resultado de satisfacao. assim as organizacoes precisam e devem consolidar garantias. nesse sentido , implantar plano de carreiras. o governo pode massificar informacoes e encontrar maneiras para que ambas as partes se entendam e obtenha lucro atraves de trabalho se enriquecer uma das partes."	0.00	0.00	0.00	0.00	0.00
"o sucesso vem da escola ou do esforco individual?"	"desejo de vencer"	"e praxe convivermos com pessoas sonhadoras em nosso cotidiano, sonhos como; ser medico como ser medico, engenheiro, juiz , policial, etc, eetc.. e evidente que para realiza-los sera resaliza-los sera necessario um empenho, entretanto, empenho. entretanto, o esforco vira, do vira do instituto de ensino ou, de ou de quem almeja tal objetivo? sabemos que a situacao educacional brasileira nao esta esta favoravel aos alunos que tem tem o alvo de ser bem formado formados, pois, escolas amestram seres sem a estrutura cabivel para exercer a funcao que foi escolhida. vemos superacoes incriveis, de cidadaos de baixa renda que esforcaram-se se esforcaram e conseguiram seus diplomas, com diplomas com honestidade, e hoje sao exemplos para sociedade. curiosamente, a maioria, vieram maioria veio de escolas publicas publicas, onde o ensino seria relativamente fraco, devido a a falta de interesse dos professores. portanto, o sucesso futuro que muitos buscam, depende somente de si mesmo, se nao caminharmos na estrada que nos leva a a realizacao dos nossos sonhos sonhos, ninguem fara isso por nos nos."	0.50	1.00	0.50	0.50	0.50
"e preferivel praticar ou sofrer uma injustica?"	"justica: pratica e sofrencia"	"e notorio que, em tempos atuais, a pratica da injustica tem sido bastante usada de forma frequente por pessoas na sociedade com altas patentes. proferindo assim a maior parte de praticas contra uma parte da sociedade. ha de se compreender que a injustica praticada por pessoas com altas patentes na sociedade, causa complexibilidade em camadas inferiores da populacao a qual sofre injustica e e oprimida . quem pratica a injustica, muitas vezes sente-se bem rebaixando pessoas psicologicamente e fazendo com que elas se sintam mal. por outro lado, existem pessoas que sao injusticadas por conta do trabalho ou dentro da propria familia por conta da escolha da homossexualidade ou por nao estarem bem psicologicamente devido o afastamento de pessoas, acabando o individuo a se sentir injusticado e sozinho, sem apoio familiar ou profissional ocorrendo assim o aumento do odio por parte dos injusticados e aumentando os tipos de intolerancias . por conseguinte, pode se afirmar que a injustica quando praticada torna-se fundamental para a vida do individuo que e injusticado, sendo assim, havera o aumento do odio por parte das pessoas que sofrem com esse tipo de acao."	0.50	0.50	0.50	0.50	0.00
"politica x ciencia: a “pilula do cancer”"	"as descobertas atraves das pesquisas"	"muitas foram as pesquisas feitas por cientistas para descobrirem a cura do cancer, um estudo por mais de duas decadas do professor gilberto orivalde chierice do instituto de quimico da universidade de sao paulo em sao carlos com objetivo de tratamento bem sucedido contra o cancer. pesquisas realizadas em culturas de celulas e animais de laboratorio, a substancia apresentou resultados promissores em ambos os casos promissores, e o no organismo do ser humano mais complexos a realizacao de todas as pesquisas necessarias o resultado foi satisfatorio, quem sabe um dia a fosfoetanolamina realmente venha fazer parte do tratamento de alguns tipos de doenca. com mascaras cirurgicas e com faixas com diseres como “tomara que voce nao precise da fosfo” ou “a cura do cancer existe", manifestantes sairam na avenida paulista a protestar a favor da liberacao da pilula . algumas pessoas fizeram o uso disseram ter notado uma melhora significativa assim a substancia poderia ser utilizada para garantir uma maior qualidade de vida. com tudo isso sob a pressao popular, o congresso nacional e a presidente da republica decretou a lei 13.269 em 13 de abril de 2016 autorizando o uso da substancia fosfoetanolamina sintetica a chamada “pilula do cancer"."	0.00	0.00	0.00	0.00	0.00
"perigos do universo digital"	"a tela ini(miga)"	"a internet, cada vez mais, esta se tornando parte da vida de todos, tanto pela facil acessibilidade como pelo seu conteudo diverso, que sao atrativos para pessoas de todas as idades, de criancas a idosos, de todas as classes, do pobre ao rico. mas, tamanha diversidade de conteudo pode ser prejudicial para todos, com destaque as criancas, que por, talvez, sua ingenuidade acabam sendo vitimas da maldade de usuarios mal-intencionados. o acesso a internet e possivel em quase todo lugar, basta ter cobertura de operadora de internet/wifi para se conectar e pronto, o mundo esta em suas maos. e possivel conhecer novos lugares sem sair de casa, fazer compras, se comunicar com alguem que esta a centenas/milhares de quilometros de distancia, pagar contas, ate mesmo trabalhar. mas nao se engane, o universo virtual nao e composto apenas de maravilhas. alem de facilitar varias acoes nos permitindo ter mais tempo livre, a internet tambem pode causar danos permanentes ao psicologico de pessoas que, pela inocencia caem em armadilhas, tais como fazer um “amigo virtual” e mais tarde – as vezes tarde demais – descobrirem que mantiveram amizade com pedofilo(s). criancas principalmente caem em armadilhas assim, por serem alvos mais faceis, e por ainda terem uma visao bondosa do mundo acabam fazendo “amizades” atraves de jogos e de redes sociais, aonde pode acorrer a influencia tanto de acesso a videos pornograficos como a filmagem de proprios videos mostrando suas partes intimas . essa tamanha liberdade, possivel atraves de uma tela, e tao prejudicial como importante, pois e possivel compartilhar pontos de vista, denunciar injusticas, fazer campanhas pro e/ou contra infinitos temas e, ate na diminuicao no indice de suicidio – mas, em alguns casos a internet vem a ser o principal motivo do mesmo – como foi abordado recentemente pela serie que teve uma fantastica aprovacao dos telespectadores, 13 reasons why. entao, sabendo que o bem e o mal sao recorrentes no universo virtual, os pais, principalmente, devem monitorar seus filhos, procurando saber quais sites acessam, quais jogos jogam, com quem conversam e o que conversam. uma divulgacao na midia sobre os perigos da internet tambem seria de grande importancia, e restricoes mais rigorosas em sites de maior exposicao."	1.50	1.50	1.00	1.50	1.00
"carta-convite: discutir discriminacao na escola"	"viver e a arte de conviver"	"e indiscutivel que saber conviver com diferentes pessoas em uma sociedade e bastante complexo e essa dificuldade acarreta desde o aperfeicoamento da pessoa, como um ser social, a iminencia de desentendimentos e destruicoes, como as guerras mundiais. com isso, ve-se a necessidade de um aprofundamento no conhecimento sobre o que e o ser humano, suas escolhas e limitacoes. todos os seres humanos sao iguais atraves do direito ao respeito, do dever de respeitar e das leis da vida. isso fica evidente ao observar o ciclo biologico de toda pessoa: nascer, crescer, reproduzir e morrer; todo individuo e sujeito a constituicao de seu pais, nao importando se e rico ou pobre, branco ou negro; e todos anseiam por alimento e agua para sobreviver. contudo, ninguem e obrigado a se conformar com acoes de alguem, mas, assim como para com todas as demais coisas, e necessario compreensao e prudencia, pois, afinal, circunstancias sociais tem o poder de diferir modos de pensar e, consequentemente, de agir e uma pessoa nao tem poder sobre o intelecto de outra. tal argumento se confirmar ao notar o funcionamento da democracia grega com seus diferentes cidadaos discutindo sobre um mesmo problema. nicolau copernico, grande fisico da idade media por mais que sofresse com as torturas da santa inquisicao, nao deixaria de acreditar que a terra era redonda, ou que era filho de deus. desse modo, entende-se que os maiores motivos pelas acoes intolerantes sao o odio, e a ignorancia sobre o pensamento humano. assim, e preciso que todos os seres humanos se coloquem no lugar do outro e, de acordo com seus principios, busquem ajuda-los a melhorar e nao impor ordens. ja o governo federal, por sua vez, deve preservar os direitos e deveres de cada um atraves do cumprimento honesto das leis e diminuir, na medida do possivel, desigualdades economicas e sociais. feito isso, a sociedade continuara com suas distintas opinioes, entretanto, se tornara mais compreensivel e tolerante a especie homo sapiens-sapiens. afinal, como disse o escritor mario quintana: “viver e a arte de conviver “."	0.00	0.00	0.00	0.00	0.00
"voce faz parte da turma do “eu me acho?”"	"a criacao da superioridade"	"ao analisar o tema “eu me acho", ve-se que e um tema bastante recorrente na sociedade brasileira atual. apesar de nao me considerar parte dessa realidade analisar alguns pontos e procurar melhoras se faz necessario, somos todos partes de uma sociedade e para viver bem nela precisamos aceitar criticas e aprender com elas, fecha-se e considera-se superior a todos e resquicios de uma infancia cheia de privilegios que nem sempre condiz com a realidade adulta. pessoas dotadas de autossuficiencia nao aceitam opinioes que divergem com as suas porque foram encorajadas e tratadas para agirem dessa maneira, o que as tornam arrogantes e sem perspectiva de melhoras por  nao saber que precisam de ajuda, tratam as outras pessoas como inferiores e se julgam melhores em tudo. todos esses comportamentos e reflexo de uma criacao erronea que infla o ego da crianca ao ponto dela sentir-se mais importante e desconjunta do seu meio. contudo, o problema esta longe se ser solucionado, pais e professores que mostram sua preferencia por um de seus filhos e alunos acostumam a crianca a acha-se mais importante, e assim nas fases posteriores da vida tambem querem essa preferencia , e isso faz com que uma simples vaga de emprego a qual ele nao foi selecionado o deixe frustrado. proporcionar uma vida de carinho e amor aos seus filhos e diferente de proporcionar uma vida cheia de privilegios aos quais ele nao conseguir se desvencilhar quando adulto . portanto medidas sao necessarias para resolver o impasse, a conscientizacao de todos e imprescindivel e aliado com ela tambem poderiam ser criadas campanhas realizadas pelas escolas, com psicologos que pudessem orientar os pais e acompanhar o desenvolvimento dos filhos que sao os mais prejudicados com o problema. “eduquem as criancas e nao sera necessario castigar os homens” - pitagoras ."	1.00	1.50	1.00	1.00	0.50
"estupro: como prevenir esse crime?"	"chega de fiu-fiu"	"a cultura do estupro e o termo que justifica a violencia contra mulher, culpando-a pelo modo de vestir ou pela sua conduta moral e nao culpando o verdadeiro agente causador: o homem. essa cultura comeca com a aceitacao do pensamento machista de que, por exemplo, e errado a mulher beijar varios homens ou ficar bebada em um bar. mas, e certo o homem ser pegador e assoviar enquanto uma mulher passa na rua. essa expressao nos ultimos dias foi muito dita , por causa do estupro coletivo que aconteceu no rio de janeiro em uma menina de 16 anos . apos o video do estupro viralizar na internet varios comentarios machistas sem saber a real situacao aconteceu, julgando-a que se ela estivesse cuidando da casa ou se ela nao estivesse com roupa curta tal ato nao aconteceria. outro video foi encontrado da vitima falando a seguinte palavra: nao. ela nao queria. mesmo assim, muitos acham que a culpa ainda e da vitima. segundo a legislacao, relacao sexual sem consentimento com menores de 18 anos e considerada estupro e a pena e de 8 a 12 anos de reclusao. ou seja, independente do comportamento da mulher, da sua roupa e do seu modo de ser, se ela disser nao, e nao. o correto e erradicar o problema desde crianca, ensinando-lhes que a mulher pode agir como bem entender e que nada sera motivo para serem violentadas. ensinando que e errado a cada 11 minutos acontecer um estupro. ou seja, a solucao e romper essa cultura de estupro, demonstrando que o certo e o homem respeitar e nao a mulher a ter medo."	0.50	1.00	0.50	0.50	0.50
"forma fisica, corpo perfeito e consumismo"	"a verdade por tras das cirurgias plasticas"	"em cada ano que se passa, mais de 23 milhoes de cirurgias plasticas sao realizadas ao redor do mundo. e o brasil, tem ocupado a segunda posicao no ranking mundial. e as mulheres, por sua vez, representam mais de 80% das pessoas que realizaram cirurgias plasticas, que entre elas, em destaque foram: a lipoaspiracao e a protese mamaria. contudo, nota-se que a busca pelo corpo perfeito e a insatisfacao da beleza natural, esta presente em grande parte do mundo conteporaneo. as revistas e a midia tem grande impacto no indice das cirurgias, devido a criacao de estereotipo tanto femininos, quanto masculinos. a modelo andressa urach, e um grande exemplo: a brasileira passou semanas internadas devido a grande doses injetadas de hidrogel nas coxas. outro caso e o de celsio santebanes, mais conhecido como ken humano; ele fez varias modificacoes cirurgicas em busca do rosto perfeito, parecido com o do boneco, ken . a busca pela perfeicao ou o estereotipo imposto pela sociedade, nem sempre da certo, havendo grandes complicacoes e ate mortes. devido a grande consumicao das cirurgias, muitas pessoas que nao tem condicao financeira, buscam por procedimentos mais baratos, sendo assim, mais perigosos. em virtudes dos fatos mencionados, conclui-se que, cirurgias plasticas esta ocupando grande espaco atualmente, tornando-se ja uma obsessao entre a populacao. dificilmente o auto bem estar consigo mesma e suficiente para nao realizacao de procedimentos medicos. tendendo a cada vez mais aumentar o consumismo na forma fisica e anatomica."	1.00	1.50	1.50	1.50	0.00
"perigos do universo digital"	"acoes virtuais, consequencias reais"	"a internet surgiu em 1992, quando berners-lee criou a world wide web, possibilitando acesso compartilhado a arquivos de pesquisa academica. desde entao, a quantidade de informacao disponibilizada e o acesso aos conteudos online cresceram celeremente, com grande impacto entre a populacao jovem. o alto nivel de liberdade individual, de obtencao e criacao de conteudo virtual demandam autocontrole e discernimento ainda nao desenvolvidos em criancas e adolescentes, deixando-os suscetiveis aos maleficios do excesso de exposicao. o mundo virtual tornou-se o palco principal da vida de muitos jovens que, com sua construcao cognitiva, moral e humana ainda incompleta, sofrem para assimilar todo o bombardeamento de informacoes que recebem e interacoes a que sao expostos. atitudes equivocadas sao esperadas nesta idade, ja que a imaturidade vai de encontro com a responsabilidade. o excesso de liberdade oferecido pela vida online e a inconsequencia tipica desta fase da vida, faz dessa geracao tanto alvo de violencias como pedofilia, quanto proprio agente de violencias como bullying. dada a recente expansao do uso das redes sociais e novas tecnologias de comunicacao como whatsapp, aliada a natural resistencia humana a aceitar transformacoes, temos um conhecimento distoante entre as novas geracoes e as mais velhas quanto ao funcionamento e utilizacao destas inovacoes. confiar aos pais e responsaveis a tarefa de fiscalizar esse uso e incauto, sabida a facil capacidade de seus protegidos de conseguirem burlar estas tentativas. consoante com o exposto acima , verifica-se que autocontrole e vigilancia parental nao se provam efetivos para evitar o risco aos que os jovens sao submetidos atraves dos novos meios tecnologicos de relacionamento. dizia immanuel kant que “o homem e aquilo que a educacao faz dele". partindo desta ideia, e da relacao indissociavel que se criou entre as pessoas com as midias virtuais, deve-se usar o proprio meio online para desenvolvimento de ferramentas educativas e atrativas ao gosto juvenil, que possam prover uma melhor consciencia das reais consequencias do mundo virtual."	2.00	2.00	1.00	2.00	2.00
"e preferivel praticar ou sofrer uma injustica?"	"e preferivel praticar ou sofrer uma injustica?"	"infelizmente, vivemos em um mundo onde tudo e muito injusto, sendo assim, acabamos nos acostumando a sofrer esse mal. mas e se pudessemos escolher sobre pratica-lo ou sofre-lo ? vivemos isso diariamente, chega a ser triste ver a quantidade de pessoas que passam fome no mundo, a saude cada vez mais precaria, nenhum investimento na educacao. e pra onde vai todo o dinheiro dos impostos que pagamos? ha pessoas que tem condicoes de pagar uma escola particular para seus filhos, uma faculdade ou ate mesmo um convenio medico , mas a grande maioria nao tem e tem que depender do estado. nos temos direitos de poder ter uma qualidade de vida melhor, mas apenas vivemos uma grande injustica. somos injusticados tambem ate mesmo nas pequenas coisas e ainda escolher pratica-la seria uma grande burrice. so vamos conseguir evoluir um pouco mais e mudar essa situacao quando comecarmos a praticar o bem, independentemente do quao ruim a situacao que esta se passando . assim como o socrates, nao queriamos optar sobre praticar a injustica ou sofrer, mas se essas sao as opcoes, que nos escolhemos ser injusticados. temos que ser diferente e fazer a diferenca, nao necessariamente precisamos se calar diante certas situacoes, se estar ruim, temos que ao menos tentar mudar a situacao e nao praticar o mesmo."	1.00	1.00	0.50	0.50	1.00
"filantropia: um exemplo a ser seguido?"	"filantropia:um exemplo a ser seguido"	"a filantropia e a atitude de ajudar o proximo, os mais necessitados. e uma maneira de atenuar a distribuicao desigual de renda, onde a concentracao da riqueza fica nas maos de poucas pessoas. alguns cidadaos, com poder aquisitivo elevado, costumam praticar a filantropia, doando parte significativa da sua fortuna para criar ou manter organizacoes com a finalidade de patrocinar obras sociais, ajudar os necessitados. nao somente esses sujeitos devem ter esse papel social, mas qualquer individuo que tenha a intencao de ajudar pessoas ou causas, como por exemplo: o voluntariado , que investe parte do seu tempo para contribuir com uma causa solidaria, sem receber qualquer tipo de remuneracao. acoes desse tipo, devem servir de exemplo a ser seguido. de fato, a filantropia nao resolvera os problemas sociais, que sao de responsabilidade do governo , mas amenizara o sofrimento e trara esperanca as pessoas carentes. portanto, a filantropia e complementar ao setor publico. ela faz algo para as pessoas onde o governo ainda nao conseguiu chegar, principalmente nas comunidades carentes. e fundamental os investimentos nas areas da educacao e da saude, voltados as criancas e adolescentes menos favorecidos. assim, esses jovens receberao as mesmas oportunidades na sociedade."	1.50	1.00	0.50	1.50	1.50
"por que o brasil nao consegue vencer o aedes aegypti?"	"condicoes favoraveis"	"o mosquito aedes aegpti, vem sendo um problema para a populacao e o governo. mais por causa de alguns fatores, o brasil nao consegue acabar com o mosquito da dengue. muitas pessoas deixa acumula agua parada em suas casas, o crescimento da populacao e a falta de infraestrutura dos grandes centros urbanos. tambem o clima nos meses de verao e um dos agravantes do aumento na taxa de reproducao do mosquito. nao e possivel a erradicacao da dengue. so podemos ter o controle do mosquitos. ser nos fizemos nossa parte, que e nao deixa acumula agua parada. e tambem o governo fazer novas coisas para combater a dengue."	0.50	0.50	0.00	0.00	0.00
"perigos do universo digital"	"mundo virtual: eis um alerta!"	"quando a internet ainda estava comecando a ganhar espaco na sociedade, eram poucas pessoas que tinham acesso a ela. mas com o decorrer dos anos, o numero de usuarios da web tem crescido desesperadamente, tanto quanto idosos, adultos, jovens e ate as criancas tem tido acesso ao mundo virtual. como consequencia desse crescimento, tem-se os perigos que tambem nao param : preconceitos, bulliyng, pedofilia, golpes, pornografia, vicio virtual... entre outros mas como proteger as criancas e adolescentes desses riscos? o ensinamento dos pais e de suma importancia, desde crianca ate a juventude , pois e preciso que as criancas e jovens aprendam a serem moderados quanto ao mundo virtual, para que eles nao se tornem nomofobicos, que e o medo de ficar sem celular, ou nao ter acesso a internet. outro exemplo e a amizade, se os pais sao amigos dos filhos, porque se algum dia, eles se depararem com qualquer tipo de situacao eles nao terao dificuldade nenhuma de chegar aos pais e expor o que estiver acontecendo, para que ambos possam ajuda-los. contudo, apenas o aconselhamento em si, nao deixa os filhos imunes desses perigos. eles devem ter bastante cuidado com o que fazem na internet. para que se tenha uma geracao conscientizada sobre os perigos do universo digital, e viavel que o governo implante em todas as escolas palestras de conscientizacao virtual, com o objetivo de alertar pais e alunos sobre o assunto."	0.50	1.00	0.50	0.50	0.50
"impeachment: a presidente deve perder o mandato?"	"(sem titulo 094)"	"o impeachment da atual presidente do brasil passou a ser senso comum, devido ao elevado numero de pessoas que apoiam o movimento e os argumentos desenvolvidos, entre eles, estao a atual situacao do brasil que encontra-se em crise e a sua participacao, atraves de um vinculo de amizade entre os seus integrantes, na operacao lava-jato . a crise passou a ser uma consequencia da situacao da politica brasileira devido aos paises terem desistido de investir pela falta de estabilidade, nao permitindo que alguma empresa pudesse vigorar em um sistema instavel. enquanto a causa dessa consequencia pode ser apresentada atraves da na operacao lava-jato que revelou a participacao de politicos em uma renomada corrupcao. os fatores mencionados entre causa e consequencia sao minimos para consolidar a perda do mandato da presidente do brasil, que dara ao pais a chance de recomecar por um outro ponto de vista, que talvez nao seja o vigente lema “um pais rico e um pais sem pobreza", mas que podera auxiliar em areas esquecidas pela propria dirigente. para que isso aconteca, a participacao do povo deve ser cada vez mais efetivada atraves das manifestacoes que revelam a sua insatisfacao e a busca por um pais melhor, partindo da percepcao de que a corrupcao existe, sim. e que pode ser posto um fim nela."	0.00	0.00	0.00	0.00	1.00
"pos-verdade, opiniao publica e democracia"	"pos-verdade, opiniao publica e democracia"	"a comunicacao tornou-se de facil acesso, em questao de segundos, milhoes de pessoas assistem um video, leem uma materia ou assistem a um programa. no entanto, a medida que crescem o numero de leitores e telespectadores, cresce tambem o numero de programas e informacoes, sendo elas de todas as especies, informativas, criticas, opinioes, entre outros . muitas das informacoes encontradas nao sao totalmente ou de fato reais, a maioria sao deturpadas ou baseadas em achismos, o que influencia aqueles que usam as redes sociais, sites ou assistem a tal programa. todos tem o direito de expressar sua opiniao, e nao impo-la ao outro. ao redijir uma materia ou publicar algo, deve-se ter certeza que estao baseadas em fatos, e caso queira opinar, deve deixar claro que e um pensamento e nao uma ordem ou uma verdade absoluta. os cidadaos devem tambem analisar aquilo que estao apresentado e nao aceitar como algo incontestavel, pois nem tudo o que esta na internet ou televisao esta certo. cada pessoa deve buscar informacoes e analisa-las ."	1.50	1.00	1.00	1.00	1.00
"o sucesso vem da escola ou do esforco individual?"	"determinacao: a chave de tudo"	"no brasil, varios estudantes questionam ou ate mesmo reclamam da educacao em escolas publicas. uma dessas insatisfacoes e pelo fato de nao conseguir ingressar no ensino superior. nao devemos deixar de ressaltar que realmente nosso pais apresenta imensa dificuldade quando se refere a educacao. dados estatisticos demonstram que ao menos um a cada cinco estudantes do terceiro ano do fundamental nao apresentam requisitos minimos de alfabetizacao em leitura, escrita e matematica. diante desse panorama ainda encontramos casos de sucesso e superacao, como por exemplo, o estudante ismael do nascimento silva que e filho de um pedreiro e de uma catadora de castanhas, e apesar desses obstaculos conseguiu se formar em direito no piaui. outro caso ocorreu com o detento venilton leonardo vinci que se formou em pedagogia e ja pensa em realizar uma pos graduacao . verificamos que independente de circunstancias e obstaculos que a vida nos proporciona , seja ele se o individuo estuda numa escola privada ou publica, ou se o mesmo e pobre ou rico , se tivermos determinacao e esforco independente do que tivermos que enfrentar, sem duvidas alcancaremos um grande exito educacional como ocorreu com ismael e venilton."	1.00	1.00	1.00	0.50	0.50
"pos-verdade, opiniao publica e democracia"	"significado de democracia: e governo do povo"	"no passado a fonte de informacoes que, os nossos avos, pais e tios tinham ao seu alcance eram apenas jornais e midia. estes veiculos, foram durante muito tempo formadores de opinioes sobre diversos assuntos como: politica, lazer e moda . eles em sua maioria acreditavam indubitavelmente nesses meios de comunicacoes . porem, com o avanco tecnologico e o descobrimento da internet e, tambem a ferramenta chamada “youtub". a geracao de hoje, esta cada vez mais, interessada na politica. e procuram . mas os jovens ainda estao tendo uma grande dificuldade de discernir. o que e verdade e o que nao e . o deputado federal jair bolsonaro, esta conseguindo adeptos abruptamente com seu discurso conservado e machista. nao obstante, protagonizou uma cena curiosa durante a votacao do impeachment, ele saudara o general ustra silva.o qual foi um torturador implacavel. em 2018, ele pretende se candidata para as eleicoes presidencialista . e notorio saber, pelo o crescente numero de seguidores, a favor de sua campanha os brasileiros tao se tornando alienados politicos. pois nao estao tendo uma educacao de qualidade, o que ocorre e uma discrepancia. dessa forma, sao enganados por politicos que so sabem governa para sim e nao para o povo. portanto, e necessario rever os conceitos de educacao, que sao aplicados nas escolas para uma formacao melhor do aluno. e evitar que nao caiam em oratorias sofistas dos parlamentares e do quarto poder."	0.50	0.50	0.50	0.50	0.50
